Country,Total sites
Afghanistan,2.0
Albania,4.0
Algeria,7.0
Andorra,1.0
Angola,1.0
Antigua and Barbuda,1.0
Argentina,12.0
Armenia,3.0
Australia,20.0
Austria,12.0
Azerbaijan,5.0
Bahrain,3.0
Bangladesh,3.0
Barbados,1.0
Belarus,4.0
Belgium,16.0
Belize,1.0
Benin,3.0
Bolivia,7.0
Bosnia and Herzegovina,5.0
Botswana,2.0
Brazil,24.0
Bulgaria,10.0
Burkina Faso,4.0
Cambodia,4.0
Cameroon,2.0
Canada,22.0
Cape Verde,1.0
Central African Republic,2.0
Chad,2.0
Chile,7.0
China,59.0
Colombia,9.0
Costa Rica,4.0
Côte d'Ivoire,5.0
Croatia,10.0
Cuba,9.0
Cyprus,3.0
Czech Republic,17.0
Democratic Republic of the Congo,5.0
Denmark,11.0
Dominica,1.0
Dominican Republic,1.0
Ecuador,5.0
Egypt,7.0
El Salvador,1.0
Eritrea,1.0
Estonia,2.0
Ethiopia,12.0
Fiji,1.0
Finland,7.0
France,53.0
Gabon,2.0
Gambia,2.0
Georgia,4.0
Germany,54.0
Ghana,2.0
Greece,19.0
Guatemala,4.0
Guinea,1.0
Haiti,1.0
Honduras,2.0
Hungary,8.0
Iceland,3.0
India,43.0
Indonesia,10.0
Iran,28.0
Iraq,6.0
Ireland,2.0
Israel,9.0
Italy,60.0
Jamaica,1.0
Japan,26.0
Jerusalem (proposed by Jordan),1.0
Jordan,7.0
Kazakhstan,6.0
Kenya,8.0
Kiribati,1.0
Kyrgyzstan,3.0
Laos,3.0
Latvia,3.0
Lebanon,6.0
Lesotho,1.0
Libya,5.0
Lithuania,5.0
Luxembourg,1.0
Madagascar,3.0
Malawi,2.0
Malaysia,5.0
Mali,4.0
Malta,3.0
Marshall Islands,1.0
Mauritania,2.0
Mauritius,2.0
Mexico,35.0
Moldova,1.0
Micronesia,1.0
Mongolia,6.0
Montenegro,4.0
Morocco,9.0
Mozambique,1.0
Myanmar,2.0
Namibia,2.0
Nepal,4.0
Netherlands,13.0
New Zealand,3.0
Nicaragua,2.0
Niger,3.0
Nigeria,2.0
North Korea,2.0
North Macedonia,2.0
Norway,8.0
Oman,5.0
Pakistan,6.0
Palau,1.0
Palestine,5.0
Panama,5.0
Papua New Guinea,1.0
Paraguay,1.0
Peru,13.0
Philippines,6.0
Poland,17.0
Portugal,17.0
Qatar,1.0
Republic of the Congo,2.0
Romania,11.0
Russia,32.0
Rwanda,2.0
Saint Kitts and Nevis,1.0
Saint Lucia,1.0
San Marino,1.0
Saudi Arabia,8.0
Senegal,7.0
Serbia,5.0
Seychelles,2.0
Singapore,1.0
Slovakia,8.0
Slovenia,5.0
Solomon Islands,1.0
South Africa,12.0
South Korea,16.0
Spain,50.0
Sri Lanka,8.0
Sudan,3.0
Suriname,3.0
Sweden,15.0
Switzerland,13.0
Syria,6.0
Tajikistan,4.0
Tanzania,7.0
Thailand,8.0
Togo,1.0
Tunisia,9.0
Turkey,21.0
Turkmenistan,5.0
Uganda,3.0
Ukraine,8.0
United Arab Emirates,1.0
United Kingdom,35.0
United States,26.0
Uruguay,3.0
Uzbekistan,7.0
Vanuatu,1.0
Vatican City,2.0
Venezuela,3.0
Vietnam,8.0
Yemen,5.0
Zambia,1.0
Zimbabwe,5.0
,
,
,
,
,
