year,month,p_mean
1988.0,2.0,16.374935
1988.0,3.0,15.306061
1988.0,4.0,15.833013
1988.0,5.0,15.961594
1988.0,6.0,15.863515
1988.0,7.0,15.706294
1988.0,9.0,15.534357
1988.0,10.0,15.787164
1988.0,11.0,15.430574
1988.0,12.0,15.674806
1989.0,1.0,15.689074
1989.0,3.0,15.6563
1989.0,4.0,0.69541949
1989.0,5.0,15.473289
1989.0,6.0,15.551888
1989.0,7.0,15.562379
1989.0,8.0,15.246579
1989.0,9.0,15.562812
1989.0,10.0,15.745047
1989.0,11.0,15.976122
1989.0,12.0,15.908699
1990.0,1.0,15.259739
1990.0,2.0,15.367912
1990.0,3.0,15.451891
1990.0,4.0,15.659709
1990.0,5.0,15.702958
1990.0,6.0,15.798903
1990.0,7.0,15.794408
1990.0,8.0,15.568626
1990.0,9.0,15.385884
1990.0,10.0,15.599316
1990.0,11.0,16.005434
1990.0,12.0,16.054384
1991.0,1.0,15.628951
1991.0,2.0,18.625538
1991.0,3.0,18.686651
1991.0,4.0,19.117792
1991.0,5.0,20.13908
1991.0,6.0,20.015995
1991.0,7.0,19.55695
1991.0,8.0,19.829123
1991.0,9.0,20.162043
1991.0,10.0,19.64267
1991.0,11.0,20.402056
1991.0,12.0,20.824404
1992.0,1.0,19.509634
1992.0,2.0,22.364487
1992.0,3.0,22.573856
1992.0,4.0,22.768572
1992.0,5.0,22.377594
1992.0,6.0,21.954428
1992.0,7.0,21.444878
1992.0,8.0,21.609951
1992.0,9.0,21.985899
1992.0,10.0,22.687304
1992.0,11.0,22.925222
1992.0,12.0,23.090408
1993.0,1.0,21.768166
1993.0,2.0,21.99412
1993.0,3.0,23.195578
1993.0,4.0,23.591221
1993.0,5.0,23.26165
1993.0,6.0,23.141912
1993.0,7.0,22.357817
1993.0,8.0,22.400772
1993.0,9.0,22.984509
1993.0,10.0,22.986347
1993.0,11.0,23.26189
1993.0,12.0,23.564148
1994.0,1.0,22.109774
1994.0,2.0,20.623255
1994.0,3.0,20.372856
1994.0,4.0,20.977161
1994.0,5.0,21.10775
1994.0,6.0,21.035608
1994.0,7.0,20.537624
1994.0,8.0,20.429842
1994.0,9.0,21.180731
1994.0,10.0,21.257603
1994.0,11.0,21.421804
1994.0,12.0,21.598108
1995.0,1.0,20.511848
1995.0,2.0,22.923964
1995.0,3.0,23.404112
1995.0,4.0,23.628345
1995.0,5.0,23.743959
1995.0,6.0,23.586781
1995.0,7.0,23.024408
1995.0,8.0,23.790895
1995.0,9.0,24.251133
1995.0,10.0,24.538851
1995.0,11.0,24.84927
1995.0,12.0,25.221436
1996.0,1.0,22.95981
1996.0,2.0,30.147924
1996.0,3.0,30.547325
1996.0,4.0,31.32481
1996.0,5.0,31.422953
1996.0,6.0,31.934982
1996.0,7.0,30.929377
1996.0,8.0,32.433514
1996.0,9.0,33.59716
1996.0,10.0,33.530712
1996.0,11.0,34.344143
1996.0,12.0,34.378658
1997.0,1.0,32.863213
1997.0,2.0,36.47419
1997.0,3.0,36.845631
1997.0,4.0,36.590858
1997.0,5.0,36.875637
1997.0,6.0,36.894279
1997.0,7.0,35.803753
1997.0,8.0,36.535625
1997.0,9.0,37.40276
1997.0,10.0,37.468071
1997.0,11.0,38.057224
1997.0,12.0,38.894455
1998.0,1.0,36.525383
1998.0,2.0,40.598446
1998.0,3.0,42.030045
1998.0,4.0,41.767662
1998.0,5.0,42.075188
1998.0,6.0,41.723381
1998.0,7.0,41.113823
1998.0,8.0,41.903049
1998.0,9.0,42.68993
1998.0,10.0,42.04628
1998.0,11.0,43.286385
1998.0,12.0,43.947342
1999.0,1.0,41.63858
1999.0,2.0,44.497822
1999.0,3.0,45.38332
1999.0,4.0,44.550533
1999.0,5.0,44.157475
1999.0,6.0,44.089119
1999.0,7.0,42.802299
1999.0,8.0,43.295547
1999.0,9.0,44.433743
1999.0,10.0,44.909328
1999.0,11.0,46.500458
1999.0,12.0,47.879539
2000.0,1.0,44.245262
2000.0,2.0,46.82999
2000.0,3.0,47.664574
2000.0,4.0,47.522617
2000.0,5.0,47.287643
2000.0,6.0,46.906315
2000.0,7.0,46.02367
2000.0,8.0,46.654121
2000.0,9.0,48.22797
2000.0,10.0,47.574772
2000.0,11.0,48.226822
2000.0,12.0,48.92738
2001.0,1.0,45.776413
2001.0,2.0,48.058674
2001.0,3.0,48.394058
2001.0,4.0,47.931988
2001.0,5.0,48.15123
2001.0,6.0,48.073078
2001.0,7.0,46.1567
2001.0,8.0,46.778915
2001.0,9.0,48.656849
2001.0,10.0,48.754406
2001.0,11.0,49.124512
2001.0,12.0,49.449257
2002.0,1.0,46.526539
2002.0,2.0,52.388863
2002.0,3.0,52.089958
2002.0,4.0,50.79026
2002.0,5.0,51.348896
2002.0,6.0,50.763721
2002.0,7.0,49.940159
2002.0,8.0,49.869648
2002.0,9.0,50.903454
2002.0,10.0,51.319374
2002.0,11.0,51.818741
2002.0,12.0,51.869419
2003.0,1.0,49.401287
2003.0,2.0,52.561821
2003.0,3.0,52.81382
2003.0,4.0,50.84
2003.0,5.0,51.114605
2003.0,6.0,51.184242
2003.0,7.0,50.800964
2003.0,8.0,51.652843
2003.0,9.0,53.279346
2003.0,10.0,53.307899
2003.0,11.0,52.771854
2003.0,12.0,52.390427
2004.0,1.0,50.860241
2004.0,2.0,52.270588
2004.0,3.0,52.393768
2004.0,4.0,52.316437
2004.0,5.0,52.492577
2004.0,6.0,52.83392
2004.0,7.0,51.615356
2004.0,8.0,52.181374
2004.0,9.0,53.006012
2004.0,10.0,53.039833
2004.0,11.0,53.277328
2004.0,12.0,54.15461
2005.0,1.0,50.77124
2005.0,2.0,52.2743
2005.0,3.0,53.307178
2005.0,4.0,51.945477
2005.0,5.0,43.944851
2005.0,6.0,53.473415
2005.0,7.0,52.498123
2005.0,8.0,51.728233
2005.0,9.0,52.879871
2005.0,10.0,54.108696
2005.0,11.0,56.334938
2005.0,12.0,55.892677
2006.0,1.0,51.19416
2006.0,2.0,57.753159
2006.0,3.0,60.457249
2006.0,4.0,60.259239
2006.0,5.0,61.718727
2006.0,6.0,62.469814
2006.0,7.0,60.504192
2006.0,8.0,59.043312
2006.0,9.0,60.289684
2006.0,10.0,60.05843
2006.0,11.0,60.824852
2006.0,12.0,61.754951
2007.0,1.0,49.868057
2007.0,2.0,51.523556
2007.0,3.0,55.531998
2007.0,4.0,55.126839
2007.0,5.0,56.962868
2007.0,6.0,58.837074
2007.0,7.0,57.079357
