Entity,Code,Year,Crop,Category,Yield (tonnes per hectare)
World,OWID_WRL,1961,Wheat,Cereals/Grains,1.0889
World,OWID_WRL,1962,Wheat,Cereals/Grains,1.206
World,OWID_WRL,1963,Wheat,Cereals/Grains,1.132
World,OWID_WRL,1964,Wheat,Cereals/Grains,1.2413
World,OWID_WRL,1965,Wheat,Cereals/Grains,1.2150999
World,OWID_WRL,1966,Wheat,Cereals/Grains,1.4079
World,OWID_WRL,1967,Wheat,Cereals/Grains,1.3392
World,OWID_WRL,1968,Wheat,Cereals/Grains,1.4534
World,OWID_WRL,1969,Wheat,Cereals/Grains,1.4174
World,OWID_WRL,1970,Wheat,Cereals/Grains,1.4941
World,OWID_WRL,1971,Wheat,Cereals/Grains,1.6244999
World,OWID_WRL,1972,Wheat,Cereals/Grains,1.6046
World,OWID_WRL,1973,Wheat,Cereals/Grains,1.6836
World,OWID_WRL,1974,Wheat,Cereals/Grains,1.6155
World,OWID_WRL,1975,Wheat,Cereals/Grains,1.5701
World,OWID_WRL,1976,Wheat,Cereals/Grains,1.7910999
World,OWID_WRL,1977,Wheat,Cereals/Grains,1.6724
World,OWID_WRL,1978,Wheat,Cereals/Grains,1.9327999
World,OWID_WRL,1979,Wheat,Cereals/Grains,1.8521999
World,OWID_WRL,1980,Wheat,Cereals/Grains,1.8554
World,OWID_WRL,1981,Wheat,Cereals/Grains,1.88
World,OWID_WRL,1982,Wheat,Cereals/Grains,1.9992
World,OWID_WRL,1983,Wheat,Cereals/Grains,2.1258
World,OWID_WRL,1984,Wheat,Cereals/Grains,2.2201
World,OWID_WRL,1985,Wheat,Cereals/Grains,2.1719
World,OWID_WRL,1986,Wheat,Cereals/Grains,2.3213
World,OWID_WRL,1987,Wheat,Cereals/Grains,2.29
World,OWID_WRL,1988,Wheat,Cereals/Grains,2.2926
World,OWID_WRL,1989,Wheat,Cereals/Grains,2.3732
World,OWID_WRL,1990,Wheat,Cereals/Grains,2.5626
World,OWID_WRL,1991,Wheat,Cereals/Grains,2.4414
World,OWID_WRL,1992,Wheat,Cereals/Grains,2.534
World,OWID_WRL,1993,Wheat,Cereals/Grains,2.537
World,OWID_WRL,1994,Wheat,Cereals/Grains,2.4777
World,OWID_WRL,1995,Wheat,Cereals/Grains,2.4958
World,OWID_WRL,1996,Wheat,Cereals/Grains,2.564
World,OWID_WRL,1997,Wheat,Cereals/Grains,2.7157
World,OWID_WRL,1998,Wheat,Cereals/Grains,2.7063
World,OWID_WRL,1999,Wheat,Cereals/Grains,2.7461998
World,OWID_WRL,2000,Wheat,Cereals/Grains,2.7316
World,OWID_WRL,2001,Wheat,Cereals/Grains,2.7417
World,OWID_WRL,2002,Wheat,Cereals/Grains,2.7551
World,OWID_WRL,2003,Wheat,Cereals/Grains,2.6513999
World,OWID_WRL,2004,Wheat,Cereals/Grains,2.9426
World,OWID_WRL,2005,Wheat,Cereals/Grains,2.8286998
World,OWID_WRL,2006,Wheat,Cereals/Grains,2.8904998
World,OWID_WRL,2007,Wheat,Cereals/Grains,2.8154
World,OWID_WRL,2008,Wheat,Cereals/Grains,3.0625
World,OWID_WRL,2009,Wheat,Cereals/Grains,3.0356
