Year,Age Group,Percentage
1950,Old,23.85357644
1951,Old,24.11764739
1952,Old,24.29866857
1953,Old,24.36925488
1954,Old,24.27744801
1955,Old,24.19439469
1956,Old,24.3472084
1957,Old,24.70424063
1958,Old,25.18632457
1959,Old,25.74115391
1960,Old,26.30465151
1961,Old,26.93154208
1962,Old,27.69276744
1963,Old,28.62657547
1964,Old,29.66883042
1965,Old,30.73616062
1966,Old,31.80046178
1967,Old,32.77254541
1968,Old,33.688598
1969,Old,34.67617048
1970,Old,35.65895313
1971,Old,36.53021839
1972,Old,37.27259938
1973,Old,37.86576684
1974,Old,38.21255963
1975,Old,38.27815058
1976,Old,38.22127929
1977,Old,38.16990284
1978,Old,38.12565621
1979,Old,38.10317874
1980,Old,37.87118842
1981,Old,37.26313341
1982,Old,36.60565826
1983,Old,36.05298006
1984,Old,35.96029922
1985,Old,36.37278054
1986,Old,36.88172961
1987,Old,37.47137873
1988,Old,38.13698209
1989,Old,38.91218352
1990,Old,39.87311851
1991,Old,40.83368806
1992,Old,41.63441862
1993,Old,42.37468472
1994,Old,43.09993768
1995,Old,43.81600936
1996,Old,44.48685607
1997,Old,45.11506567
1998,Old,45.74196191
1999,Old,46.3327404
2000,Old,46.95384333
2001,Old,47.63665172
2002,Old,48.24288668
2003,Old,48.77143804
2004,Old,49.32704076
2005,Old,49.93310826
2006,Old,50.55338949
2007,Old,51.17476267
2008,Old,51.75728463
2009,Old,52.33245149
2010,Old,52.87127659
2011,Old,53.40813629
2012,Old,53.98660343
2013,Old,54.51984886
2014,Old,55.00161942
2015,Old,55.46656789
2016,Old,55.95000609
2017,Old,56.3619155
2018,Old,56.79673087
2019,Old,57.38939625
2020,Old,57.97379767
2021,Old,58.33759809
2022,Old,58.60067739
2023,Old,58.95509656
1950,Young,76.14642356
1951,Young,75.88235261
1952,Young,75.70133143
1953,Young,75.63074512
1954,Young,75.72255199
1955,Young,75.80560531
1956,Young,75.6527916
1957,Young,75.29575937
1958,Young,74.81367543
1959,Young,74.25884609
1960,Young,73.69534849
1961,Young,73.06845792
1962,Young,72.30723256
1963,Young,71.37342453
1964,Young,70.33116958
1965,Young,69.26383938
1966,Young,68.19953822
1967,Young,67.22745459
1968,Young,66.311402
1969,Young,65.32382952
1970,Young,64.34104687
1971,Young,63.46978161
1972,Young,62.72740062
1973,Young,62.13423316
1974,Young,61.78744037
1975,Young,61.72184942
1976,Young,61.77872071
1977,Young,61.83009716
1978,Young,61.87434379
1979,Young,61.89682126
1980,Young,62.12881158
1981,Young,62.73686659
1982,Young,63.39434174
1983,Young,63.94701994
1984,Young,64.03970078
1985,Young,63.62721946
1986,Young,63.11827039
1987,Young,62.52862127
1988,Young,61.86301791
1989,Young,61.08781648
1990,Young,60.12688149
1991,Young,59.16631194
1992,Young,58.36558138
1993,Young,57.62531528
1994,Young,56.90006232
1995,Young,56.18399064
1996,Young,55.51314393
1997,Young,54.88493433
1998,Young,54.25803809
1999,Young,53.6672596
2000,Young,53.04615667
2001,Young,52.36334828
2002,Young,51.75711332
2003,Young,51.22856196
2004,Young,50.67295924
2005,Young,50.06689174
2006,Young,49.44661051
2007,Young,48.82523733
2008,Young,48.24271537
2009,Young,47.66754851
2010,Young,47.12872341
2011,Young,46.59186371
2012,Young,46.01339657
2013,Young,45.48015114
2014,Young,44.99838058
2015,Young,44.53343211
2016,Young,44.04999391
2017,Young,43.6380845
2018,Young,43.20326913
2019,Young,42.61060375
2020,Young,42.02620233
2021,Young,41.66240191
2022,Young,41.39932261
2023,Young,41.04490344
