Year,Age Group,Percentage
1950,Old,5.47667618
1951,Old,5.197695279
1952,Old,4.975578285
1953,Old,4.807736827
1954,Old,4.696899134
1955,Old,4.658091626
1956,Old,4.69757103
1957,Old,4.772115526
1958,Old,4.834401548
1959,Old,4.903989519
1960,Old,5.00402856
1961,Old,5.133233741
1962,Old,5.295980571
1963,Old,5.504583785
1964,Old,5.757696812
1965,Old,6.041174003
1966,Old,6.348772755
1967,Old,6.690840237
1968,Old,7.073892023
1969,Old,7.505818536
1970,Old,7.979279563
1971,Old,8.479853638
1972,Old,9.02299834
1973,Old,9.623428256
1974,Old,10.28662621
1975,Old,11.02145861
1976,Old,11.81560733
1977,Old,12.65002289
1978,Old,13.50525969
1979,Old,14.35182158
1980,Old,15.1587776
1981,Old,15.88447284
1982,Old,16.52736725
1983,Old,17.11791301
1984,Old,17.67751133
1985,Old,18.22776389
1986,Old,18.84882414
1987,Old,19.5422216
1988,Old,20.1059481
1989,Old,20.49127185
1990,Old,20.73267327
1991,Old,20.89530646
1992,Old,21.15373907
1993,Old,21.49679622
1994,Old,21.85544438
1995,Old,22.22881154
1996,Old,22.60995472
1997,Old,23.03008874
1998,Old,23.55552862
1999,Old,24.24021592
2000,Old,24.9475657
2001,Old,25.48410069
2002,Old,25.87867414
2003,Old,26.50353014
2004,Old,27.65190335
2005,Old,28.99503956
2006,Old,30.20641234
2007,Old,31.21259161
2008,Old,32.18002804
2009,Old,33.21450868
2010,Old,34.14092143
2011,Old,35.21235565
2012,Old,36.69794026
2013,Old,38.35146295
2014,Old,39.94318965
2015,Old,41.47152573
2016,Old,42.97464843
2017,Old,44.47349796
2018,Old,45.92393268
2019,Old,47.29971383
2020,Old,48.72745125
2021,Old,50.14831776
2022,Old,51.35126484
2023,Old,52.59143727
1950,Young,94.52332382
1951,Young,94.80230472
1952,Young,95.02442172
1953,Young,95.19226317
1954,Young,95.30310087
1955,Young,95.34190837
1956,Young,95.30242897
1957,Young,95.22788447
1958,Young,95.16559845
1959,Young,95.09601048
1960,Young,94.99597144
1961,Young,94.86676626
1962,Young,94.70401943
1963,Young,94.49541621
1964,Young,94.24230319
1965,Young,93.958826
1966,Young,93.65122725
1967,Young,93.30915976
1968,Young,92.92610798
1969,Young,92.49418146
1970,Young,92.02072044
1971,Young,91.52014636
1972,Young,90.97700166
1973,Young,90.37657174
1974,Young,89.71337379
1975,Young,88.97854139
1976,Young,88.18439267
1977,Young,87.34997711
1978,Young,86.49474031
1979,Young,85.64817842
1980,Young,84.8412224
1981,Young,84.11552716
1982,Young,83.47263275
1983,Young,82.88208699
1984,Young,82.32248867
1985,Young,81.77223611
1986,Young,81.15117586
1987,Young,80.4577784
1988,Young,79.8940519
1989,Young,79.50872815
1990,Young,79.26732673
1991,Young,79.10469354
1992,Young,78.84626093
1993,Young,78.50320378
1994,Young,78.14455562
1995,Young,77.77118846
1996,Young,77.39004528
1997,Young,76.96991126
1998,Young,76.44447138
1999,Young,75.75978408
2000,Young,75.0524343
2001,Young,74.51589931
2002,Young,74.12132586
2003,Young,73.49646986
2004,Young,72.34809665
2005,Young,71.00496044
2006,Young,69.79358766
2007,Young,68.78740839
2008,Young,67.81997196
2009,Young,66.78549132
2010,Young,65.85907857
2011,Young,64.78764435
2012,Young,63.30205974
2013,Young,61.64853705
2014,Young,60.05681035
2015,Young,58.52847427
2016,Young,57.02535157
2017,Young,55.52650204
2018,Young,54.07606732
2019,Young,52.70028617
2020,Young,51.27254875
2021,Young,49.85168224
2022,Young,48.64873516
2023,Young,47.40856273
