Entity,ISO3,Year,Age,Population,Start Age
Hungary,HUN,1950,Age: 0-4,824764,0
Hungary,HUN,1950,Age: 15-24,1542478,15
Hungary,HUN,1950,Age: 25-64,4738355,25
Hungary,HUN,1950,Age: 5-14,1503052,5
Hungary,HUN,1950,Age: 65+,729210,65
Hungary,HUN,1951,Age: 0-4,855866,0
Hungary,HUN,1951,Age: 15-24,1524676,15
Hungary,HUN,1951,Age: 25-64,4793709,25
Hungary,HUN,1951,Age: 5-14,1500105,5
Hungary,HUN,1951,Age: 65+,748797,65
Hungary,HUN,1952,Age: 0-4,873335,0
Hungary,HUN,1952,Age: 15-24,1511151,15
Hungary,HUN,1952,Age: 25-64,4844469,25
Hungary,HUN,1952,Age: 5-14,1509961,5
Hungary,HUN,1952,Age: 65+,764992,65
Hungary,HUN,1953,Age: 0-4,887044,0
Hungary,HUN,1953,Age: 15-24,1499925,15
Hungary,HUN,1953,Age: 25-64,4895500,25
Hungary,HUN,1953,Age: 5-14,1532410,5
Hungary,HUN,1953,Age: 65+,779581,65
Hungary,HUN,1954,Age: 0-4,914367,0
Hungary,HUN,1954,Age: 15-24,1488200,15
Hungary,HUN,1954,Age: 25-64,4949516,25
Hungary,HUN,1954,Age: 5-14,1559382,5
Hungary,HUN,1954,Age: 65+,793110,65
Hungary,HUN,1955,Age: 0-4,940456,0
Hungary,HUN,1955,Age: 15-24,1478055,15
Hungary,HUN,1955,Age: 25-64,5010599,25
Hungary,HUN,1955,Age: 5-14,1587313,5
Hungary,HUN,1955,Age: 65+,806772,65
Hungary,HUN,1956,Age: 0-4,948869,0
Hungary,HUN,1956,Age: 15-24,1442207,15
Hungary,HUN,1956,Age: 25-64,5038065,25
Hungary,HUN,1956,Age: 5-14,1603430,5
Hungary,HUN,1956,Age: 65+,821402,65
Hungary,HUN,1957,Age: 0-4,940599,0
Hungary,HUN,1957,Age: 15-24,1407444,15
Hungary,HUN,1957,Age: 25-64,5040973,25
Hungary,HUN,1957,Age: 5-14,1611541,5
Hungary,HUN,1957,Age: 65+,837347,65
Hungary,HUN,1958,Age: 0-4,911892,0
Hungary,HUN,1958,Age: 15-24,1407260,15
Hungary,HUN,1958,Age: 25-64,5065887,25
Hungary,HUN,1958,Age: 5-14,1637390,5
Hungary,HUN,1958,Age: 65+,858226,65
Hungary,HUN,1959,Age: 0-4,859661,0
Hungary,HUN,1959,Age: 15-24,1421442,15
Hungary,HUN,1959,Age: 25-64,5095546,25
Hungary,HUN,1959,Age: 5-14,1679866,5
Hungary,HUN,1959,Age: 65+,880304,65
Hungary,HUN,1960,Age: 0-4,799910,0
Hungary,HUN,1960,Age: 15-24,1433610,15
Hungary,HUN,1960,Age: 25-64,5119983,25
Hungary,HUN,1960,Age: 5-14,1727665,5
Hungary,HUN,1960,Age: 65+,902187,65
Hungary,HUN,1961,Age: 0-4,748559,0
Hungary,HUN,1961,Age: 15-24,1438392,15
Hungary,HUN,1961,Age: 25-64,5138634,25
Hungary,HUN,1961,Age: 5-14,1771909,5
Hungary,HUN,1961,Age: 65+,928993,65
Hungary,HUN,1962,Age: 0-4,708306,0
Hungary,HUN,1962,Age: 15-24,1455558,15
Hungary,HUN,1962,Age: 25-64,5151178,25
Hungary,HUN,1962,Age: 5-14,1787235,5
Hungary,HUN,1962,Age: 65+,955761,65
Hungary,HUN,1963,Age: 0-4,679432,0
Hungary,HUN,1963,Age: 15-24,1483120,15
Hungary,HUN,1963,Age: 25-64,5161868,25
