Country,ISO3,Year,Gender,Age,Population,StartAge
Hungary,HUN,1950,Male,0-4,421143.0,0
Hungary,HUN,1950,Female,0-4,403620.5,0
Hungary,HUN,1950,Male,5-9,390591.5,5
Hungary,HUN,1950,Female,5-9,378701.5,5
Hungary,HUN,1950,Male,10-14,370263.5,10
Hungary,HUN,1950,Female,10-14,363494.5,10
Hungary,HUN,1950,Male,15-19,380933.5,15
Hungary,HUN,1950,Female,15-19,378010.5,15
Hungary,HUN,1950,Male,20-24,386715.5,20
Hungary,HUN,1950,Female,20-24,396818.5,20
Hungary,HUN,1950,Male,25-29,377045.5,25
Hungary,HUN,1950,Female,25-29,411469.5,25
Hungary,HUN,1950,Male,30-34,232671.0,30
Hungary,HUN,1950,Female,30-34,262650.5,30
Hungary,HUN,1950,Male,35-39,343540.0,35
Hungary,HUN,1950,Female,35-39,383663.0,35
Hungary,HUN,1950,Male,40-44,335910.5,40
Hungary,HUN,1950,Female,40-44,365096.0,40
Hungary,HUN,1950,Male,45-49,307482.0,45
Hungary,HUN,1950,Female,45-49,328343.0,45
Hungary,HUN,1950,Male,50-54,264806.5,50
Hungary,HUN,1950,Female,50-54,303112.5,50
Hungary,HUN,1950,Male,55-59,198089.0,55
Hungary,HUN,1950,Female,55-59,248065.5,55
Hungary,HUN,1950,Male,60-64,165190.0,60
Hungary,HUN,1950,Female,60-64,211222.5,60
Hungary,HUN,1950,Male,65-69,135786.0,65
Hungary,HUN,1950,Female,65-69,173801.5,65
Hungary,HUN,1950,Male,70-74,93729.5,70
Hungary,HUN,1950,Female,70-74,118783.0,70
Hungary,HUN,1950,Male,75-79,54658.5,75
Hungary,HUN,1950,Female,75-79,69526.5,75
Hungary,HUN,1950,Male,80-84,26187.5,80
Hungary,HUN,1950,Female,80-84,33224.0,80
Hungary,HUN,1950,Male,85-89,8040.0,85
Hungary,HUN,1950,Female,85-89,11367.0,85
Hungary,HUN,1950,Male,90-94,1401.5,90
Hungary,HUN,1950,Female,90-94,2297.5,90
Hungary,HUN,1950,Male,95-99,151.0,95
Hungary,HUN,1950,Female,95-99,255.0,95
Hungary,HUN,1950,Male,100+,9.5,100
Hungary,HUN,1950,Female,100+,13.0,100
Hungary,HUN,1951,Male,0-4,436984.0,0
Hungary,HUN,1951,Female,0-4,418884.0,0
Hungary,HUN,1951,Male,5-9,387665.5,5
Hungary,HUN,1951,Female,5-9,375438.0,5
Hungary,HUN,1951,Male,10-14,372105.5,10
Hungary,HUN,1951,Female,10-14,364894.0,10
Hungary,HUN,1951,Male,15-19,375060.0,15
Hungary,HUN,1951,Female,15-19,371535.0,15
Hungary,HUN,1951,Male,20-24,386057.0,20
Hungary,HUN,1951,Female,20-24,392024.5,20
Hungary,HUN,1951,Male,25-29,380148.0,25
Hungary,HUN,1951,Female,25-29,409521.5,25
Hungary,HUN,1951,Male,30-34,262881.5,30
Hungary,HUN,1951,Female,30-34,296767.0,30
Hungary,HUN,1951,Male,35-39,314715.0,35
Hungary,HUN,1951,Female,35-39,353491.0,35
Hungary,HUN,1951,Male,40-44,342520.5,40
Hungary,HUN,1951,Female,40-44,373690.5,40
Hungary,HUN,1951,Male,45-49,307214.5,45
Hungary,HUN,1951,Female,45-49,328843.5,45
Hungary,HUN,1951,Male,50-54,275570.5,50
Hungary,HUN,1951,Female,50-54,307642.0,50
Hungary,HUN,1951,Male,55-59,206858.5,55
Hungary,HUN,1951,Female,55-59,260457.0,55
Hungary,HUN,1951,Male,60-64,163656.5,60
Hungary,HUN,1951,Female,60-64,209730.0,60
Hungary,HUN,1951,Male,65-69,138198.5,65
Hungary,HUN,1951,Female,65-69,178473.0,65
Hungary,HUN,1951,Male,70-74,95105.5,70
Hungary,HUN,1951,Female,70-74,121591.0,70
Hungary,HUN,1951,Male,75-79,56386.5,75
Hungary,HUN,1951,Female,75-79,73060.5,75
Hungary,HUN,1951,Male,80-84,27088.0,80
Hungary,HUN,1951,Female,80-84,34559.5,80
Hungary,HUN,1951,Male,85-89,8308.0,85
Hungary,HUN,1951,Female,85-89,11683.0,85
Hungary,HUN,1951,Male,90-94,1447.0,90
Hungary,HUN,1951,Female,90-94,2472.5,90
Hungary,HUN,1951,Male,95-99,148.0,95
Hungary,HUN,1951,Female,95-99,272.5,95
Hungary,HUN,1951,Male,100+,9.0,100
Hungary,HUN,1951,Female,100+,16.0,100
Hungary,HUN,1952,Male,0-4,445508.0,0
Hungary,HUN,1952,Female,0-4,427826.5,0
Hungary,HUN,1952,Male,5-9,389909.5,5
Hungary,HUN,1952,Female,5-9,376497.0,5
Hungary,HUN,1952,Male,10-14,375815.0,10
Hungary,HUN,1952,Female,10-14,367738.5,10
Hungary,HUN,1952,Male,15-19,370497.0,15
Hungary,HUN,1952,Female,15-19,366694.0,15
Hungary,HUN,1952,Male,20-24,385375.0,20
Hungary,HUN,1952,Female,20-24,388585.0,20
Hungary,HUN,1952,Male,25-29,379777.5,25
Hungary,HUN,1952,Female,25-29,403300.5,25
Hungary,HUN,1952,Male,30-34,301134.5,30
Hungary,HUN,1952,Female,30-34,339513.0,30
Hungary,HUN,1952,Male,35-39,278939.5,35
Hungary,HUN,1952,Female,35-39,314830.5,35
Hungary,HUN,1952,Male,40-44,347544.0,40
Hungary,HUN,1952,Female,40-44,380091.5,40
Hungary,HUN,1952,Male,45-49,309053.0,45
Hungary,HUN,1952,Female,45-49,333161.5,45
Hungary,HUN,1952,Male,50-54,284631.5,50
Hungary,HUN,1952,Female,50-54,310583.5,50
Hungary,HUN,1952,Male,55-59,215464.5,55
Hungary,HUN,1952,Female,55-59,270228.0,55
Hungary,HUN,1952,Male,60-64,164257.0,60
Hungary,HUN,1952,Female,60-64,211955.5,60
Hungary,HUN,1952,Male,65-69,139957.0,65
Hungary,HUN,1952,Female,65-69,181651.0,65
Hungary,HUN,1952,Male,70-74,96963.0,70
Hungary,HUN,1952,Female,70-74,125811.0,70
Hungary,HUN,1952,Male,75-79,57577.5,75
Hungary,HUN,1952,Female,75-79,76053.5,75
Hungary,HUN,1952,Male,80-84,27289.5,80
Hungary,HUN,1952,Female,80-84,35310.5,80
Hungary,HUN,1952,Male,85-89,8299.0,85
Hungary,HUN,1952,Female,85-89,11775.5,85
Hungary,HUN,1952,Male,90-94,1423.5,90
Hungary,HUN,1952,Female,90-94,2467.5,90
Hungary,HUN,1952,Male,95-99,136.5,95
Hungary,HUN,1952,Female,95-99,275.5,95
Hungary,HUN,1952,Male,100+,8.0,100
Hungary,HUN,1952,Female,100+,17.5,100
Hungary,HUN,1953,Male,0-4,452596.5,0
Hungary,HUN,1953,Female,0-4,434448.5,0
Hungary,HUN,1953,Male,5-9,397603.0,5
Hungary,HUN,1953,Female,5-9,383057.5,5
Hungary,HUN,1953,Male,10-14,380671.5,10
Hungary,HUN,1953,Female,10-14,371077.5,10
Hungary,HUN,1953,Male,15-19,366679.0,15
Hungary,HUN,1953,Female,15-19,363119.0,15
Hungary,HUN,1953,Male,20-24,384337.0,20
Hungary,HUN,1953,Female,20-24,385791.0,20
Hungary,HUN,1953,Male,25-29,379432.0,25
Hungary,HUN,1953,Female,25-29,397320.0,25
Hungary,HUN,1953,Male,30-34,341126.0,30
Hungary,HUN,1953,Female,30-34,382011.0,30
Hungary,HUN,1953,Male,35-39,242626.0,35
Hungary,HUN,1953,Female,35-39,274425.0,35
Hungary,HUN,1953,Male,40-44,350755.5,40
Hungary,HUN,1953,Female,40-44,385128.5,40
Hungary,HUN,1953,Male,45-49,312567.5,45
Hungary,HUN,1953,Female,45-49,338897.5,45
Hungary,HUN,1953,Male,50-54,291464.5,50
Hungary,HUN,1953,Female,50-54,314253.0,50
Hungary,HUN,1953,Male,55-59,225028.5,55
Hungary,HUN,1953,Female,55-59,277258.5,55
Hungary,HUN,1953,Male,60-64,167416.0,60
Hungary,HUN,1953,Female,60-64,215789.5,60
Hungary,HUN,1953,Male,65-69,140623.0,65
Hungary,HUN,1953,Female,65-69,184494.0,65
Hungary,HUN,1953,Male,70-74,99612.0,70
Hungary,HUN,1953,Female,70-74,131228.5,70
Hungary,HUN,1953,Male,75-79,58490.5,75
Hungary,HUN,1953,Female,75-79,78084.5,75
Hungary,HUN,1953,Male,80-84,26914.5,80
Hungary,HUN,1953,Female,80-84,36063.5,80
Hungary,HUN,1953,Male,85-89,8241.0,85
Hungary,HUN,1953,Female,85-89,11605.0,85
Hungary,HUN,1953,Male,90-94,1417.0,90
Hungary,HUN,1953,Female,90-94,2424.0,90
Hungary,HUN,1953,Male,95-99,123.5,95
Hungary,HUN,1953,Female,95-99,258.5,95
Hungary,HUN,1953,Male,100+,6.5,100
Hungary,HUN,1953,Female,100+,15.5,100
Hungary,HUN,1954,Male,0-4,467013.0,0
Hungary,HUN,1954,Female,0-4,447354.5,0
Hungary,HUN,1954,Male,5-9,405172.5,5
Hungary,HUN,1954,Female,5-9,390121.5,5
Hungary,HUN,1954,Male,10-14,387742.0,10
Hungary,HUN,1954,Female,10-14,376344.5,10
Hungary,HUN,1954,Male,15-19,364844.0,15
Hungary,HUN,1954,Female,15-19,361395.5,15
Hungary,HUN,1954,Male,20-24,380905.0,20
Hungary,HUN,1954,Female,20-24,381056.0,20
Hungary,HUN,1954,Male,25-29,381377.5,25
Hungary,HUN,1954,Female,25-29,395938.5,25
Hungary,HUN,1954,Male,30-34,366129.5,30
Hungary,HUN,1954,Female,30-34,404552.0,30
Hungary,HUN,1954,Male,35-39,222278.0,35
Hungary,HUN,1954,Female,35-39,250712.0,35
Hungary,HUN,1954,Male,40-44,350613.0,40
Hungary,HUN,1954,Female,40-44,387663.5,40
Hungary,HUN,1954,Male,45-49,319373.0,45
Hungary,HUN,1954,Female,45-49,347243.5,45
Hungary,HUN,1954,Male,50-54,294990.5,50
Hungary,HUN,1954,Female,50-54,317388.5,50
Hungary,HUN,1954,Male,55-59,235759.0,55
Hungary,HUN,1954,Female,55-59,282622.5,55
Hungary,HUN,1954,Male,60-64,171817.5,60
Hungary,HUN,1954,Female,60-64,221051.0,60
Hungary,HUN,1954,Male,65-69,140862.0,65
Hungary,HUN,1954,Female,65-69,187062.0,65
Hungary,HUN,1954,Male,70-74,102179.5,70
Hungary,HUN,1954,Female,70-74,136281.5,70
Hungary,HUN,1954,Male,75-79,59661.0,75
Hungary,HUN,1954,Female,75-79,79922.5,75
Hungary,HUN,1954,Male,80-84,26576.0,80
Hungary,HUN,1954,Female,80-84,36369.0,80
Hungary,HUN,1954,Male,85-89,8335.5,85
Hungary,HUN,1954,Female,85-89,11660.5,85
Hungary,HUN,1954,Male,90-94,1426.0,90
Hungary,HUN,1954,Female,90-94,2400.5,90
Hungary,HUN,1954,Male,95-99,120.0,95
Hungary,HUN,1954,Female,95-99,251.0,95
Hungary,HUN,1954,Male,100+,6.5,100
Hungary,HUN,1954,Female,100+,14.0,100
Hungary,HUN,1955,Male,0-4,480715.0,0
Hungary,HUN,1955,Female,0-4,459739.5,0
Hungary,HUN,1955,Male,5-9,416337.5,5
Hungary,HUN,1955,Female,5-9,400341.0,5
Hungary,HUN,1955,Male,10-14,391792.0,10
Hungary,HUN,1955,Female,10-14,378842.5,10
Hungary,HUN,1955,Male,15-19,366312.5,15
Hungary,HUN,1955,Female,15-19,362075.5,15
Hungary,HUN,1955,Male,20-24,374835.5,20
Hungary,HUN,1955,Female,20-24,374830.0,20
Hungary,HUN,1955,Male,25-29,383596.0,25
Hungary,HUN,1955,Female,25-29,394424.0,25
Hungary,HUN,1955,Male,30-34,374060.5,30
Hungary,HUN,1955,Female,30-34,406962.0,30
Hungary,HUN,1955,Male,35-39,230940.0,35
Hungary,HUN,1955,Female,35-39,259757.5,35
Hungary,HUN,1955,Male,40-44,338786.0,40
Hungary,HUN,1955,Female,40-44,376925.0,40
Hungary,HUN,1955,Male,45-49,328305.0,45
Hungary,HUN,1955,Female,45-49,357828.5,45
Hungary,HUN,1955,Male,50-54,295222.5,50
Hungary,HUN,1955,Female,50-54,317981.0,50
Hungary,HUN,1955,Male,55-59,247782.5,55
Hungary,HUN,1955,Female,55-59,288776.5,55
Hungary,HUN,1955,Male,60-64,178515.5,60
Hungary,HUN,1955,Female,60-64,230734.0,60
Hungary,HUN,1955,Male,65-69,140431.0,65
Hungary,HUN,1955,Female,65-69,186639.5,65
Hungary,HUN,1955,Male,70-74,104573.0,70
Hungary,HUN,1955,Female,70-74,141035.0,70
Hungary,HUN,1955,Male,75-79,61146.5,75
Hungary,HUN,1955,Female,75-79,82389.5,75
Hungary,HUN,1955,Male,80-84,27388.5,80
Hungary,HUN,1955,Female,80-84,37667.5,80
Hungary,HUN,1955,Male,85-89,8710.5,85
Hungary,HUN,1955,Female,85-89,12393.5,85
Hungary,HUN,1955,Male,90-94,1507.5,90
