Location,ISO3,Time,Age Group,Value,Percentage
Hungary,HUN,1950,0-14,2327814.5,0.249287245
Hungary,HUN,1950,15-64,6280835,0.67261891
Hungary,HUN,1950,65+,729231,0.078093846
Hungary,HUN,1951,0-14,2355971,0.25001885
Hungary,HUN,1951,15-64,6318384,0.670515512
Hungary,HUN,1951,65+,748818.5,0.079465639
Hungary,HUN,1952,0-14,2383294.5,0.250769445
Hungary,HUN,1952,15-64,6355616.5,0.668735829
Hungary,HUN,1952,65+,765016,0.080494726
Hungary,HUN,1953,0-14,2419454.5,0.252171483
Hungary,HUN,1953,15-64,6395425,0.666573314
Hungary,HUN,1953,65+,779601.5,0.081255203
Hungary,HUN,1954,0-14,2473748,0.254905065
Hungary,HUN,1954,15-64,6437710,0.663367848
Hungary,HUN,1954,65+,793127.5,0.081727087
Hungary,HUN,1955,0-14,2527767.5,0.257326108
Hungary,HUN,1955,15-64,6488650,0.66054297
Hungary,HUN,1955,65+,806789,0.082130921
Hungary,HUN,1956,0-14,2552299,0.25901177
Hungary,HUN,1956,15-64,6480267.5,0.657628888
Hungary,HUN,1956,65+,821422,0.083359342
Hungary,HUN,1957,0-14,2552141,0.259418561
Hungary,HUN,1957,15-64,6448415.5,0.655464832
Hungary,HUN,1957,65+,837371,0.085116606
Hungary,HUN,1958,0-14,2549281.5,0.258006751
Hungary,HUN,1958,15-64,6473146.5,0.655131847
Hungary,HUN,1958,65+,858249.5,0.086861402
Hungary,HUN,1959,0-14,2539527.5,0.255566885
Hungary,HUN,1959,15-64,6516986,0.655840825
Hungary,HUN,1959,65+,880327.5,0.08859229
Hungary,HUN,1960,0-14,2527573,0.253178234
Hungary,HUN,1960,15-64,6553590,0.656450414
Hungary,HUN,1960,65+,902211,0.090371351
Hungary,HUN,1961,0-14,2520468,0.251380303
Hungary,HUN,1961,15-64,6577027.5,0.655963561
Hungary,HUN,1961,65+,929018,0.092656136
Hungary,HUN,1962,0-14,2495541,0.248113405
Hungary,HUN,1962,15-64,6606738,0.656859679
Hungary,HUN,1962,65+,955787,0.095026917
Hungary,HUN,1963,0-14,2454405.5,0.243399861
Hungary,HUN,1963,15-64,6644988.5,0.658973947
Hungary,HUN,1963,65+,984447,0.097626192
Hungary,HUN,1964,0-14,2411568.5,0.238429903
Hungary,HUN,1964,15-64,6685466,0.660986828
Hungary,HUN,1964,65+,1017336.5,0.100583269
Hungary,HUN,1965,0-14,2365971.5,0.233304776
Hungary,HUN,1965,15-64,6725202,0.663161728
Hungary,HUN,1965,65+,1049945.5,0.103533496
Hungary,HUN,1966,0-14,2322624,0.228370858
Hungary,HUN,1966,15-64,6764741,0.665139818
Hungary,HUN,1966,65+,1083039.5,0.106489324
Hungary,HUN,1967,0-14,2289277,0.224289165
Hungary,HUN,1967,15-64,6801500,0.666368794
Hungary,HUN,1967,65+,1116033.5,0.109342042
Hungary,HUN,1968,0-14,2254141.5,0.220033366
