Country,ISO3,Year,Gender,Age,Population,Start Age
Hungary,HUN,1950,Male,"""0-4""",421143,0
Hungary,HUN,1951,Male,"""0-4""",436984,0
Hungary,HUN,1952,Male,"""0-4""",445508,0
Hungary,HUN,1953,Male,"""0-4""",452596.5,0
Hungary,HUN,1954,Male,"""0-4""",467013,0
Hungary,HUN,1955,Male,"""0-4""",480715,0
Hungary,HUN,1956,Male,"""0-4""",485373,0
Hungary,HUN,1957,Male,"""0-4""",481796,0
Hungary,HUN,1958,Male,"""0-4""",467570.5,0
Hungary,HUN,1959,Male,"""0-4""",440595.5,0
Hungary,HUN,1960,Male,"""0-4""",409925.5,0
Hungary,HUN,1961,Male,"""0-4""",384086.5,0
Hungary,HUN,1962,Male,"""0-4""",363675,0
Hungary,HUN,1963,Male,"""0-4""",348941,0
Hungary,HUN,1964,Male,"""0-4""",338768,0
Hungary,HUN,1965,Male,"""0-4""",331491,0
Hungary,HUN,1966,Male,"""0-4""",328269,0
Hungary,HUN,1967,Male,"""0-4""",333162,0
Hungary,HUN,1968,Male,"""0-4""",343828,0
Hungary,HUN,1969,Male,"""0-4""",355590.5,0
Hungary,HUN,1970,Male,"""0-4""",366390,0
Hungary,HUN,1971,Male,"""0-4""",374311.5,0
Hungary,HUN,1972,Male,"""0-4""",378841,0
Hungary,HUN,1973,Male,"""0-4""",380676,0
Hungary,HUN,1974,Male,"""0-4""",388944.5,0
Hungary,HUN,1975,Male,"""0-4""",407275,0
Hungary,HUN,1976,Male,"""0-4""",426672.5,0
Hungary,HUN,1977,Male,"""0-4""",441664.5,0
Hungary,HUN,1978,Male,"""0-4""",450960,0
Hungary,HUN,1979,Male,"""0-4""",449719.5,0
Hungary,HUN,1980,Male,"""0-4""",433735.5,0
Hungary,HUN,1981,Male,"""0-4""",411135,0
Hungary,HUN,1982,Male,"""0-4""",389190.5,0
Hungary,HUN,1983,Male,"""0-4""",367544,0
Hungary,HUN,1984,Male,"""0-4""",347378.5,0
Hungary,HUN,1985,Male,"""0-4""",333438.5,0
Hungary,HUN,1986,Male,"""0-4""",325271.5,0
Hungary,HUN,1987,Male,"""0-4""",319525.5,0
Hungary,HUN,1988,Male,"""0-4""",316883,0
Hungary,HUN,1989,Male,"""0-4""",316063.5,0
Hungary,HUN,1990,Male,"""0-4""",315271.5,0
Hungary,HUN,1991,Male,"""0-4""",314990.5,0
Hungary,HUN,1992,Male,"""0-4""",314509,0
