Entity,Code,Year,Population share in urban areas,GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2022,28.624544,1357.9878,,40578846,Asia,2022,2023,2022,2022
Albania,ALB,2022,60.694756,12978.101,,2827615,Europe,2022,2023,2022,2022
Algeria,DZA,2022,71.448296,13506.444,,45477391,Africa,2022,2023,2022,2022
Angola,AGO,2022,66.44555,6118.905,,35635028,Africa,2022,2023,2022,2022
Argentina,ARG,2022,94.35072,18292.318,,45407904,South America,2022,2023,2022,2022
Armenia,ARM,2022,69.70461,13837.577,,2880883,Asia,2022,2023,2022,2022
Australia,AUS,2022,91.03619,52049.43,,26200987,Oceania,2022,2023,2022,2022
Austria,AUT,2022,71.53455,43792.855,,9064679,Europe,2022,2023,2022,2022
Azerbaijan,AZE,2022,59.687744,17682.94,,10295307,Asia,2022,2023,2022,2022
Bahrain,BHR,2022,22.602472,38651.6,,1533459,Asia,2022,2023,2022,2022
Bangladesh,BGD,2022,35.50516,4925.721,,169384890,Asia,2022,2023,2022,2022
Barbados,BRB,2022,52.4262,11545.848,,282324,North America,2022,2023,2022,2022
Belarus,BLR,2022,78.82908,18699.799,,9173241,Europe,2022,2023,2022,2022
Belgium,BEL,2022,97.72505,41872.395,,11641813,Europe,2022,2023,2022,2022
Benin,BEN,2022,49.601788,2477.0903,,13759507,Africa,2022,2023,2022,2022
Bolivia,BOL,2022,71.030876,6481.3906,,12077155,South America,2022,2023,2022,2022
Bosnia and Herzegovina,BIH,2022,55.636303,12142.863,,3204805,Europe,2022,2023,2022,2022
Botswana,BWA,2022,67.88448,16351.91,,2439895,Africa,2022,2023,2022,2022
Brazil,BRA,2022,89.01066,14640.076,,210306411,South America,2022,2023,2022,2022
Bulgaria,BGR,2022,75.861664,20592.455,,6825863,Europe,2022,2023,2022,2022
Burkina Faso,BFA,2022,34.570763,1704.966,,22509037,Africa,2022,2023,2022,2022
Burundi,BDI,2022,15.80286,717.22845,,13321101,Africa,2022,2023,2022,2022
Cambodia,KHM,2022,25.178072,3944.2468,,17201717,Asia,2022,2023,2022,2022
Cameroon,CMR,2022,66.05114,2812.2148,,27632771,Africa,2022,2023,2022,2022
Canada,CAN,2022,84.399826,45529.645,,38821260,North America,2022,2023,2022,2022
Cape Verde,CPV,2022,68.4622,7202.767,,519750,Africa,2022,2023,2022,2022
Central African Republic,CAF,2022,46.061543,596.393,,5098038,Africa,2022,2023,2022,2022
Chad,TCD,2022,35.104958,1393.5635,,18455319,Africa,2022,2023,2022,2022
Chile,CHL,2022,91.72559,22740.72,,19553032,South America,2022,2023,2022,2022
China,CHN,2022,55.900593,19238.18,,1425179562,Asia,2022,2023,2022,2022
Colombia,COL,2022,79.940155,14468.964,,51737944,South America,2022,2023,2022,2022
Comoros,COM,2022,31.981203,1900.3983,,834192,Africa,2022,2023,2022,2022
Congo,COG,2022,68.34945,4187.507,,6035107,Africa,2022,2023,2022,2022
Costa Rica,CRI,2022,69.984215,15496.82,,5081765,North America,2022,2023,2022,2022
Cote d'Ivoire,CIV,2022,58.102314,4011.7122,,30395003,Africa,2022,2023,2022,2022
Croatia,HRV,2022,64.741394,26986.752,,3907031,Europe,2022,2023,2022,2022
Cuba,CUB,2022,79.67266,7648.704,,11059821,North America,2022,2023,2022,2022
Cyprus,CYP,2022,61.253,31523.498,,1331376,Europe,2022,2023,2022,2022
Czechia,CZE,2022,78.00106,32247.395,,10673216,Europe,2022,2023,2022,2022
Democratic Republic of Congo,COD,2022,42.79737,844.172,,102396974,Africa,2022,2023,2022,2022
Denmark,DNK,2022,89.16665,50689.68,,5902898,Europe,2022,2023,2022,2022
Djibouti,DJI,2022,83.079254,3623.0603,,1137100,Africa,2022,2023,2022,2022
Dominica,DMA,2022,70.49683,8879.6455,,66850,North America,2022,2023,2022,2022
Dominican Republic,DOM,2022,74.136505,17713.52,,11230734,North America,2022,2023,2022,2022
Ecuador,ECU,2022,71.48117,10124.076,,17823900,South America,2022,2023,2022,2022
Egypt,EGY,2022,50.814186,13205.406,,112618251,Africa,2022,2023,2022,2022
El Salvador,SLV,2022,69.81238,9218.905,,6280316,North America,2022,2023,2022,2022
